Sex,Age,Height,Weight,Activity Level,BMI,Daily Calories,Carbs,Fiber,Protein,Fat,Water,Vitamin C,Vitamin A,Vitamin D,Vitamin E,Vitamin B12,Vitamin K,Niacin,Calcium
Male,18 years,6 ft. 0 in.,112 lbs.,Sedentary,15.2,"2,007 kcal/day","226 - 326 grams
",38 grams,43 grams,"56 - 78 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,6 ft. 0 in.,115 lbs.,Sedentary,15.6,"2,043 kcal/day","230 - 332 grams
",38 grams,44 grams,"57 - 79 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,6 ft. 0 in.,117 lbs.,Sedentary,15.9,"2,068 kcal/day","233 - 336 grams
",38 grams,45 grams,"57 - 80 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,6 ft. 0 in.,119 lbs.,Sedentary,16.1,"2,092 kcal/day","235 - 340 grams
",38 grams,46 grams,"58 - 81 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,6 ft. 0 in.,121 lbs.,Sedentary,16.4,"2,116 kcal/day","238 - 344 grams
",38 grams,47 grams,"59 - 82 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,6 ft. 0 in.,123 lbs.,Sedentary,16.7,"2,140 kcal/day","241 - 348 grams
",38 grams,47 grams,"59 - 83 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,6 ft. 0 in.,126 lbs.,Sedentary,17.1,"2,177 kcal/day","245 - 354 grams
",38 grams,49 grams,"60 - 85 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,6 ft. 0 in.,128 lbs.,Sedentary,17.4,"2,201 kcal/day","248 - 358 grams
",38 grams,49 grams,"61 - 86 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,6 ft. 0 in.,130 lbs.,Sedentary,17.6,"2,225 kcal/day","250 - 362 grams
",38 grams,50 grams,"62 - 87 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,6 ft. 0 in.,132 lbs.,Sedentary,17.9,"2,249 kcal/day","253 - 365 grams
",38 grams,51 grams,"62 - 87 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,6 ft. 0 in.,135 lbs.,Sedentary,18.3,"2,286 kcal/day","257 - 371 grams
",38 grams,52 grams,"64 - 89 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,6 ft. 0 in.,137 lbs.,Sedentary,18.6,"2,310 kcal/day","260 - 375 grams
",38 grams,53 grams,"64 - 90 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,6 ft. 0 in.,139 lbs.,Sedentary,18.9,"2,334 kcal/day","263 - 379 grams
",38 grams,54 grams,"65 - 91 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,6 ft. 0 in.,141 lbs.,Sedentary,19.1,"2,358 kcal/day","265 - 383 grams
",38 grams,54 grams,"66 - 92 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
