Sex,Age,Height,Weight,Activity Level,BMI,Daily Calories,Fiber,Protein,Water,Vitamin C,Vitamin A,Vitamin D,Vitamin E,Vitamin B12,Vitamin K,Niacin,Calcium,Carbs_min (gram),Carbs_max (gram),Fat_min (gram),Fat_max (gram)
1,18.0,182.88,88.0,Sedentary,11.9,1716.0,38.0,34.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,193.0,279.0,48.0,67.0
1,18.0,182.88,90.0,Sedentary,12.2,1741.0,38.0,35.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,196.0,283.0,48.0,68.0
1,18.0,182.88,93.0,Sedentary,12.6,1777.0,38.0,36.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,200.0,289.0,49.0,69.0
1,18.0,182.88,95.0,Sedentary,12.9,1801.0,38.0,37.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,203.0,293.0,50.0,70.0
1,18.0,182.88,97.0,Sedentary,13.2,1825.0,38.0,37.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,205.0,297.0,51.0,71.0
1,18.0,182.88,99.0,Sedentary,13.4,1850.0,38.0,38.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,208.0,301.0,51.0,72.0
1,18.0,182.88,101.0,Sedentary,13.7,1874.0,38.0,39.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,211.0,305.0,52.0,73.0
1,18.0,182.88,104.0,Sedentary,14.1,1910.0,38.0,40.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,215.0,310.0,53.0,74.0
1,18.0,182.88,106.0,Sedentary,14.4,1934.0,38.0,41.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,218.0,314.0,54.0,75.0
1,18.0,182.88,108.0,Sedentary,14.6,1959.0,38.0,42.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,220.0,318.0,54.0,76.0
1,18.0,182.88,110.0,Sedentary,14.9,1983.0,38.0,42.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,223.0,322.0,55.0,77.0
1,18.0,182.88,112.0,Sedentary,15.2,2007.0,38.0,43.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,226.0,326.0,56.0,78.0
1,18.0,182.88,115.0,Sedentary,15.6,2043.0,38.0,44.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,230.0,332.0,57.0,79.0
1,18.0,182.88,117.0,Sedentary,15.9,2068.0,38.0,45.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,233.0,336.0,57.0,80.0
1,18.0,182.88,119.0,Sedentary,16.1,2092.0,38.0,46.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,235.0,340.0,58.0,81.0
1,18.0,182.88,121.0,Sedentary,16.4,2116.0,38.0,47.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,238.0,344.0,59.0,82.0
1,18.0,182.88,123.0,Sedentary,16.7,2140.0,38.0,47.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,241.0,348.0,59.0,83.0
1,18.0,182.88,126.0,Sedentary,17.1,2177.0,38.0,49.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,245.0,354.0,60.0,85.0
1,18.0,182.88,128.0,Sedentary,17.4,2201.0,38.0,49.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,248.0,358.0,61.0,86.0
1,18.0,182.88,130.0,Sedentary,17.6,2225.0,38.0,50.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,250.0,362.0,62.0,87.0
1,18.0,182.88,132.0,Sedentary,17.9,2249.0,38.0,51.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,253.0,365.0,62.0,87.0
1,18.0,182.88,135.0,Sedentary,18.3,2286.0,38.0,52.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,257.0,371.0,64.0,89.0
1,18.0,182.88,137.0,Sedentary,18.6,2310.0,38.0,53.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,260.0,375.0,64.0,90.0
1,18.0,182.88,139.0,Sedentary,18.9,2334.0,38.0,54.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,263.0,379.0,65.0,91.0
1,18.0,182.88,141.0,Sedentary,19.1,2358.0,38.0,54.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,265.0,383.0,66.0,92.0
